game	QPlayer_v1.4.3	19xx	\N	\N	\N	\N	\N	19XX: The War Against Destiny [sound only]	1996	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	19xx	19x.01	\N	\N	131072	ef55195e	813f465f2d392f6abeadbf661c54cf51171fa006	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	19xx	19x.11	\N	\N	2097152	d38beef3	134e961b926a97cca5e45d3558efb98f6f278e08	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	19xx	19x.12	\N	\N	2097152	d47c96e2	3c1b5563f8e7ee1c450b3592fcb319e928caec3c	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	armwar	\N	\N	\N	\N	\N	Armored Warriors [sound only]	1994	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	armwar	pwg.01	\N	\N	131072	18a5c0e4	bb1353dd74884aaeec9b5f1d0b284d9cad53c0ff	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	armwar	pwg.02	\N	\N	131072	c9dfffa6	64e71028befe9a2514074be765dd020e1d2ea70b	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	armwar	pwg.11	\N	\N	2097152	a78f7433	e47ffba7b9dac9d0dda985c5d966194be18260f7	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	armwar	pwg.12	\N	\N	2097152	77438ed0	733ca6c6a792e66e2aa12c5fc06dd459527afe4b	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	avsp	\N	\N	\N	\N	\N	Alien vs. Predator [sound only]	1994	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	avsp	avp.01	\N	\N	131072	2d3b4220	2b2d04d4282550fa9f6e1ad8528f20d1f2ac02eb	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	avsp	avp.11	\N	\N	2097152	83499817	e65b0ebd61ddc748842a9d4d92404b5305307623	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	avsp	avp.12	\N	\N	2097152	f4110d49	f27538776cc1ba8213f19f98728ed8c02508d3ac	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	batcir	\N	\N	\N	\N	\N	Battle Circuit [sound only]	1997	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	batcir	btc.01	\N	\N	131072	1e194310	3b29de0aca9dbca59d6b50fb2509e2a913c6b0af	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	batcir	btc.02	\N	\N	131072	01aeb8e6	50a5d1cce0caf7c5143d4904431e8f41e2a57464	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	batcir	btc.11	\N	\N	2097152	c27f2229	df2459493af40937b6656a16fad43ff51bed2204	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	batcir	btc.12	\N	\N	2097152	418a2e33	0642ddff2ab9255f154419da24ba644ed63f34ab	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	cybots	\N	\N	\N	\N	\N	Cyberbots: Fullmetal Madness [sound only]	1995	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	cybots	cyb.01	\N	\N	131072	9c0fb079	06d260875a76da08d56ea2b2ae277e8c2dbae6e3	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	cybots	cyb.02	\N	\N	131072	51cb0c4e	c322957558d8d3e9dad090aebbe485978cbce8f5	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	cybots	cyb.11	\N	\N	2097152	362ccab2	28e537067d4846f22657ee37166d18b8f05f4da1	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	cybots	cyb.12	\N	\N	2097152	7066e9cc	eb6a9d4998b3311344d73bae88d661d81609c492	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	ddsom	\N	\N	\N	\N	\N	Dungeons & Dragons: Shadow over Mystara [sound only]	1996	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	ddsom	dd2.01	\N	\N	131072	99d657e5	1528dd6b07a0e79951a35c0457c8a9c9770e9c78	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	ddsom	dd2.02	\N	\N	131072	117a3824	14f3a12170b601c5466c93af9d2f24e0b386b4e4	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	ddsom	dd2.11	\N	\N	2097152	98d0c325	7406e8d943d77c468eb418c4113261f4ab973bbf	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	ddsom	dd2.12	\N	\N	2097152	5ea2e7fa	0e6a9fd007f637adcb2226c902394f07de45e803	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	ddtod	\N	\N	\N	\N	\N	Dungeons & Dragons: Tower of Doom [sound only]	1993	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	ddtod	dad.01	\N	\N	131072	3f5e2424	4aa744576bc6752c43a90a27a816ebd90076b248	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	ddtod	dad.11	\N	\N	2097152	0c499b67	a8ebd8a1cd6dece8344b7cb0439d85843fb97616	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	ddtod	dad.12	\N	\N	2097152	2f0b5a4e	8d1ebbb811aa469b0f0d29d719d2b9af28fb63a2	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	dino	\N	\N	\N	\N	\N	Cadillacs and Dinosaurs [sound only]	1993	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	dino	cd_q.rom	\N	\N	131072	605fdb0b	9da90ddc6513aaaf2260f0c69719c6b0e585ba8c	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	dino	cd_q1.rom	\N	\N	524288	60927775	f8599bc84c38573ebbe8685822c58b6a38b50462	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	dino	cd_q2.rom	\N	\N	524288	770f4c47	fec8ef00a6669d4d5e37787ecc7b58ee46709326	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	dino	cd_q3.rom	\N	\N	524288	2f273ffc	f0de462f6c4d251911258e0ebd886152c14d1586	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	dino	cd_q4.rom	\N	\N	524288	2c67821d	6e2528d0b22508300a6a142a796dd3bf53a66946	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	dstlk	\N	\N	\N	\N	\N	Darkstalkers: The Night Warriors [sound only]	1994	Capcom	\N	\N	\N	
game_rom	QPlayer_v1.4.3	dstlk	vam.01	\N	\N	131072	64b685d5	6c180e7420db754eca5cad17a40f5a64f5c3bd15	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	dstlk	vam.02	\N	\N	131072	cf7c97c7	109a4b56ecd59be9c3f5869de99d40619bdaef21	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	dstlk	vam.11	\N	\N	2097152	4a39deb2	7e63e615869958db66a4e52a0272afee5a10e446	\N	\N	\N	\N	\N	\N	
game_rom	QPlayer_v1.4.3	dstlk	vam.12	\N	\N	2097152	1a3e5c03	c5a556e125d6c3d68da745b4d56cd7a851f2a23d	\N	\N	\N	\N	\N	\N	
game	QPlayer_v1.4.3	ecof	\N	\N	\N	\N	\N	Eco Fighters [sound only]	1993	Capcom	\N	\N	\N	
