game	CPSE_v0.02	ssf2	\N	\N	\N	\N	\N	Super Street Fighter 2: The New Challengers (US 930911) [sound only]	1993	Capcom	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssfu.03a	\N	\N	524288	72f29c33	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssfu.04a	\N	\N	524288	935cea44	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssfu.05	\N	\N	524288	a0acb28a	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssfu.06	\N	\N	524288	47413dcf	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssfu.07	\N	\N	524288	e6066077	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssfux.03a	\N	\N	524288	ec278279	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssfux.04a	\N	\N	524288	6194d896	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssfux.05	\N	\N	524288	aa846b9f	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssfux.06	\N	\N	524288	235268c4	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssfux.07	\N	\N	524288	e46e033c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.13	\N	\N	2097152	cf94d275	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.15	\N	\N	2097152	5eb703af	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.17	\N	\N	2097152	ffa60e0f	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.19	\N	\N	2097152	34e825c5	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.14	\N	\N	1048576	b7cc32e7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.16	\N	\N	1048576	8376ad18	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.18	\N	\N	1048576	f5b1b336	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.20	\N	\N	1048576	459d5c6b	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.01	\N	\N	131072	eb247e8c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.q01	\N	\N	524288	a6f9da5c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.q02	\N	\N	524288	8c66ae26	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.q03	\N	\N	524288	695cc2ca	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.q04	\N	\N	524288	9d9ebe32	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.q05	\N	\N	524288	4770e7b7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.q06	\N	\N	524288	4e79c951	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.q07	\N	\N	524288	cdd14313	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2	ssf.q08	\N	\N	524288	6f5a088c	\N	\N	\N	\N	\N	\N	\N	
game	CPSE_v0.02	ssf2a	\N	\N	ssf2	ssf2	\N	Super Street Fighter 2: The New Challengers (Asia 930911) [sound only]	1993	Capcom	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssfa.03a	\N	\N	524288	d2a3c520	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssfa.04a	\N	\N	524288	5d873642	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssfa.05a	\N	\N	524288	f8fb4de2	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssfa.06a	\N	\N	524288	aa8acee7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssfa.07a	\N	\N	524288	36e29217	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.13	ssf.13	\N	2097152	cf94d275	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.15	ssf.15	\N	2097152	5eb703af	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.17	ssf.17	\N	2097152	ffa60e0f	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.19	ssf.19	\N	2097152	34e825c5	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.14	ssf.14	\N	1048576	b7cc32e7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.16	ssf.16	\N	1048576	8376ad18	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.18	ssf.18	\N	1048576	f5b1b336	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.20	ssf.20	\N	1048576	459d5c6b	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.01	ssf.01	\N	131072	eb247e8c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.q01	ssf.q01	\N	524288	a6f9da5c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.q02	ssf.q02	\N	524288	8c66ae26	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.q03	ssf.q03	\N	524288	695cc2ca	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.q04	ssf.q04	\N	524288	9d9ebe32	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.q05	ssf.q05	\N	524288	4770e7b7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.q06	ssf.q06	\N	524288	4e79c951	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.q07	ssf.q07	\N	524288	cdd14313	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2a	ssf.q08	ssf.q08	\N	524288	6f5a088c	\N	\N	\N	\N	\N	\N	\N	
game	CPSE_v0.02	ssf2j	\N	\N	ssf2	ssf2	\N	Super Street Fighter 2: The New Challengers (Japan 931005) [sound only]	1993	Capcom	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssfj.03b	\N	\N	524288	5c2e356d	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssfj.04a	\N	\N	524288	013bd55c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssfj.05	\N	\N	524288	0918d19a	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssfj.06b	\N	\N	524288	014e0c6d	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssfj.07	\N	\N	524288	eb6a9b1b	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssfjx.03b	\N	\N	524288	693985dd	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssfjx.04a	\N	\N	524288	f866d34a	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssfjx.05	\N	\N	524288	7282bb56	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssfjx.06b	\N	\N	524288	c597bc4a	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssfjx.07	\N	\N	524288	2af7cab2	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.13	ssf.13	\N	2097152	cf94d275	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.15	ssf.15	\N	2097152	5eb703af	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.17	ssf.17	\N	2097152	ffa60e0f	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.19	ssf.19	\N	2097152	34e825c5	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.14	ssf.14	\N	1048576	b7cc32e7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.16	ssf.16	\N	1048576	8376ad18	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.18	ssf.18	\N	1048576	f5b1b336	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.20	ssf.20	\N	1048576	459d5c6b	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.01	ssf.01	\N	131072	eb247e8c	\N	\N	\N	\N	\N	\N	\N	
