game	MMSnd_v0.36b10	4dwarrio	\N	\N	\N	\N	\N	4D Warriors [sound only]	1985	Coreland / Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	4dwarrio	4d.120	\N	\N	8192	5241c009	b7a21f95b63234f2496d5ea6e7dc8050ca1b39fc	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	ab1	\N	\N	\N	\N	\N	After Burner [sound only]	1987	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	ab1	ab1_fm.dat	\N	\N	65536	6888eb8f	8f8fffb214842a5d356e33f5a97099bc6407384f	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	ab1	ab_pcm.dat	\N	\N	393216	d7f3957d	\N	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	abcop	\N	\N	\N	\N	\N	AB Cop [sound only]	1989	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	abcop	13560	\N	\N	65536	83050925	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	abcop	13561	\N	\N	131072	80a7c02a	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	abcop	13562	\N	\N	131072	3cc3968f	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	abcop	13563	\N	\N	131072	4083e74f	\N	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	aburner	\N	\N	\N	\N	\N	After Burner II [sound only]	1987	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	aburner	10930	\N	\N	131072	9209068f	01f3dda1c066d00080c55f2c86c506b6b2407f98	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	aburner	10931	\N	\N	131072	6493368b	328aff19ff1d1344e9115f519d3962390c4e5ba4	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	aburner	11102	\N	\N	131072	6c07c78d	3868b1824f43e4f2b4fbcd9274bfb3000c889d12	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	aburner	11112	\N	\N	65536	d777fc6d	46ce1c3875437044c0a172960d560d6acd6eaa92	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	ajax	\N	\N	\N	\N	\N	Ajax [sound only]	1987	Konami	\N	\N	\N	
game_rom	MMSnd_v0.36b10	ajax	770c10	\N	\N	262144	7fac825f	581522d7a02dad16d2803ff344b4db133f767e6b	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	ajax	770c11	\N	\N	524288	299a615a	29cdcc21998c72f4cf311792b904b79bde236bab	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	ajax	h03.f16	\N	\N	32768	2ffd2afc	ca2ef684f87bcf9b70b3ec66ec80685edaf04b9b	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	alexkidd	\N	\N	\N	\N	\N	Alex Kidd [sound only]	1986	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	alexkidd	10434.12	\N	\N	32768	77141cce	6c5e83527f7e11a5ff5cc4fa75d55618a55e1a58	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	aliensyn	\N	\N	\N	\N	\N	Alien Syndrome [sound only]	1987	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	aliensyn	10723.a7	\N	\N	32768	99953526	4a980370923fd5d3dc9e25d42a032c9e78c7ff47	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	aliensyn	10724.a8	\N	\N	32768	f971a817	502c95638e4fd5f87e5fc837cb44b39a5d62f4e4	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	aliensyn	10725.a9	\N	\N	32768	6a50e08f	d34b2ccadb8b07d5ad99cab5c5b5b79642c65574	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	aliensyn	10726.a10	\N	\N	32768	d50b7736	b1f8e3b0cf2ffee5382098100cfabe21b383cd51	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	altbeast	\N	\N	\N	\N	\N	Altered Beast [sound only]	1988	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	altbeast	ab11671.bin	\N	\N	32768	2b71343b	8a657f787de2b9d5161ed2c109642a148348af09	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	altbeast	opr11672	\N	\N	131072	bbd7f460	bbc5c2219cb3a827d84062b19affd9780da2a3cf	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	altbeast	opr11673	\N	\N	131072	400c4a36	de4bdfa91734410e0a7f6a16bf8336db172f458a	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	arabfght	\N	\N	\N	\N	\N	Arabian Fight [sound only]	1992	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	arabfght	mpr14593.bin	\N	\N	1048576	aa037047	5cb1cfb235bbbf875d2b07ac4a9130ba13d47e57	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	arabfght	mpr14594.bin	\N	\N	1048576	01777645	7bcbe7687bd80b94bd3b2b3099cdd036bf7e0cd3	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	arabfght	mpr14595.bin	\N	\N	1048576	5173d1af	dccda644488d0c561c8ff7fa9619bd9504d8d9c6	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	arabfght	epr14596.bin	\N	\N	131072	bd01faec	c909dcb8ef2672c4b0060d911d295e445ca311eb	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	astormj	\N	\N	\N	\N	\N	Alien Storm [sound only]	1990	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	astormj	mpr13076.bin	\N	\N	262144	94e6c76e	f99e58a9bf372c41af211bd9b9ea3ac5b924c6ed	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	astormj	mpr13077.bin	\N	\N	262144	e2ec0d8d	225b0d223b7282cba7710300a877fb4a2c6dbabb	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	astormj	mpr13078.bin	\N	\N	262144	15684dc5	595051006de24f791dae937584e502ff2fa31d9c	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	astormj	epr13083.bin	\N	\N	131072	5df3af20	e49105fcfd5bf37d14bd760f6adca5ce2412883d	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	aurail	\N	\N	\N	\N	\N	Aurail [sound only]	1990	Sega / Westone	\N	\N	\N	
game_rom	MMSnd_v0.36b10	aurail	13448	\N	\N	32768	b5183fb9	c8372b57fa486256d49dc5851d6b17c92de593fb	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	aurail	aurail.a12	\N	\N	131072	d3d9aaf9	0fb3a8cb11033accceb3a43a691fb424cf8b9619	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	blockgal	\N	\N	\N	\N	\N	Block Gal [sound only]	1987	Sega / Vic Tokai	\N	\N	\N	
