game	aEmu_v1.1	invaders	\N	\N	\N	\N	\N	Space Invaders	1978	Midway	\N	\N	\N	
game_rom	aEmu_v1.1	invaders	invaders.h	\N	\N	2048	734f5ad8	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	invaders	invaders.g	\N	\N	2048	6bfaca4a	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	invaders	invaders.f	\N	\N	2048	0ccead96	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	invaders	invaders.e	\N	\N	2048	14e538b0	\N	\N	\N	\N	\N	\N	\N	
game	aEmu_v1.1	earthinv	\N	\N	\N	\N	\N	Super Earth Invasion	1980	bootleg	\N	\N	\N	
game_rom	aEmu_v1.1	earthinv	invaders.h	\N	\N	2048	58a750c8	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	earthinv	invaders.g	\N	\N	2048	b91742f1	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	earthinv	invaders.f	\N	\N	2048	4acbbc60	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	earthinv	invaders.e	\N	\N	2048	df397b12	\N	\N	\N	\N	\N	\N	\N	
game	aEmu_v1.1	spaceatt	\N	\N	\N	\N	\N	Space Attack II	1980	Zenitone-Microsec Ltd	\N	\N	\N	
game_rom	aEmu_v1.1	spaceatt	spaceatt.h	\N	\N	2048	a31d0756	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	spaceatt	spaceatt.g	\N	\N	2048	f41241f7	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	spaceatt	spaceatt.f	\N	\N	2048	4c060223	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	spaceatt	spaceatt.e	\N	\N	2048	7cf6f604	\N	\N	\N	\N	\N	\N	\N	
game	aEmu_v1.1	sinvemag	\N	\N	\N	\N	\N	Super Invaders (EMAG)	????	bootleg	\N	\N	\N	
game_rom	aEmu_v1.1	sinvemag	sv0h.bin	\N	\N	1024	86bb8cb6	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	sinvemag	emag_si.b	\N	\N	1024	febe6d1a	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	sinvemag	emag_si.c	\N	\N	1024	aafb24f7	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	sinvemag	emag_si.d	\N	\N	1024	68c4b9da	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	sinvemag	emag_si.e	\N	\N	1024	c4e80586	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	sinvemag	emag_si.f	\N	\N	1024	077f5ef2	\N	\N	\N	\N	\N	\N	\N	
game	aEmu_v1.1	alieninv	\N	\N	\N	\N	\N	Alien Invasion Part II	????	bootleg	\N	\N	\N	
game_rom	aEmu_v1.1	alieninv	1h.bin	\N	\N	2048	c46df7f4	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	alieninv	1g.bin	\N	\N	2048	4b1112d6	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	alieninv	1f.bin	\N	\N	2048	adca18a5	\N	\N	\N	\N	\N	\N	\N	
game_rom	aEmu_v1.1	alieninv	1e.bin	\N	\N	2048	0449cb52	\N	\N	\N	\N	\N	\N	\N	
game	aEmu_v1.1	sitv	\N	\N	\N	\N	\N	Space Invaders (TV Version)	1978	Taito	\N	\N	\N	
game_rom	aEmu_v1.1	sitv	tv0h.s1	\N	\N	2048	fef18aad	\N	\N	\N	\N	\N	\N	\N	
