Multi-screen games:

select g.game_sourcefile, gd.game_name, min(gd.rotated_width) min_width, max(gd.rotated_width) max_width, min(gd.rotated_height) min_height, max(gd.rotated_height) max_height, count(*) from game g, game_display gd where g.dat = gd.dat and g.game_name = gd.game_name group by g.game_sourcefile, gd.game_name having count(*) > 1 order by g.game_sourcefile, gd.game_name;

+-----------------+-----------+-----------+-----------+------------+------------+----------+
| game_sourcefile | game_name | min_width | max_width | min_height | max_height | count(*) |
+-----------------+-----------+-----------+-----------+------------+------------+----------+
| backfire.c      | backfira  |       320 |       320 |        240 |        240 |        2 |
| backfire.c      | backfire  |       320 |       320 |        240 |        240 |        2 |
| bfm_sc2.c       | gldncrwn  |       288 |       400 |         34 |        280 |        2 |
| bfm_sc2.c       | paradice  |       288 |       400 |         34 |        280 |        2 |
| bfm_sc2.c       | pokio     |       288 |       400 |         34 |        280 |        2 |
| bfm_sc2.c       | pyramid   |       288 |       400 |         34 |        280 |        2 |
| bfm_sc2.c       | qntoond   |       288 |       400 |         34 |        280 |        2 |
| bfm_sc2.c       | qntoondo  |       288 |       400 |         34 |        280 |        2 |
| bfm_sc2.c       | quintoon  |       288 |       400 |         34 |        280 |        2 |
| bfm_sc2.c       | slotsnl   |       288 |       400 |         34 |        280 |        2 |
| bfm_sc2.c       | sltblgp1  |       288 |       400 |         34 |        280 |        2 |
| bfm_sc2.c       | sltblgpo  |       288 |       400 |         34 |        280 |        2 |
| bfm_sc2.c       | sltblgtk  |       288 |       400 |         34 |        280 |        2 |
| cyberbal.c      | cyberba2  |       672 |       672 |        240 |        240 |        2 |
| cyberbal.c      | cyberbal  |       672 |       672 |        240 |        240 |        2 |
| cyberbal.c      | cyberbap  |       672 |       672 |        240 |        240 |        2 |
| cyberbal.c      | cyberbt   |       672 |       672 |        240 |        240 |        2 |
| cyberbal.c      | cyberbt1  |       672 |       672 |        240 |        240 |        2 |
| darius.c        | darius    |       288 |       288 |        224 |        224 |        3 |
| darius.c        | dariuse   |       288 |       288 |        224 |        224 |        3 |
| darius.c        | dariusj   |       288 |       288 |        224 |        224 |        3 |
| darius.c        | dariuso   |       288 |       288 |        224 |        224 |        3 |
